Session ID,Date,Day,Start Time,End Time,Task Type,App Switch Count,Distraction Duration (mins),Total Focus Duration (mins),Focus Score (0-10),Productivity %
243,01-02-2025,Saturday,19:48,20:56,writing,0,2,46,1,95.83
244,01-02-2025,Saturday,14:07,15:10,writing,2,37,24,6,39.34
245,01-02-2025,Saturday,07:03,08:54,coding,3,1,108,10,99.08
246,02-02-2025,Sunday,17:07,17:57,reading,0,27,12,6,30.77
247,03-02-2025,Monday,14:33,16:30,coding,1,3,101,9,97.12
248,03-02-2025,Monday,17:55,19:21,reading,3,37,35,9,48.61
249,03-02-2025,Monday,14:14,14:46,reading,0,4,26,6,86.67
250,04-02-2025,Tuesday,08:20,09:26,coding,0,0,57,3,100
251,05-02-2025,Wednesday,09:08,10:56,writing,1,43,13,1,23.21
252,06-02-2025,Thursday,18:41,19:46,reading,0,15,50,1,76.92
253,07-02-2025,Friday,14:42,16:36,writing,0,38,32,7,45.71
254,08-02-2025,Saturday,15:32,16:34,writing,0,15,27,10,64.29
255,09-02-2025,Sunday,21:41,22:16,studying,3,5,14,9,73.68
256,09-02-2025,Sunday,06:33,08:32,studying,1,10,56,3,84.85
257,09-02-2025,Sunday,18:47,19:23,studying,1,9,19,10,67.86
258,10-02-2025,Monday,18:26,19:17,others,0,14,20,10,58.82
259,10-02-2025,Monday,10:58,11:34,reading,0,2,34,8,94.44
260,10-02-2025,Monday,18:17,19:54,writing,0,3,62,4,95.38
261,11-02-2025,Tuesday,11:56,13:30,writing,3,57,16,4,21.92
262,11-02-2025,Tuesday,10:18,11:02,others,1,4,35,2,89.74
263,12-02-2025,Wednesday,20:54,21:34,others,0,12,28,9,70
264,12-02-2025,Wednesday,12:38,13:39,writing,0,3,35,2,92.11
265,13-02-2025,Thursday,21:16,23:12,reading,2,49,47,7,48.96
266,13-02-2025,Thursday,17:56,19:12,writing,2,28,46,4,62.16
267,14-02-2025,Friday,19:20,20:59,reading,1,28,17,2,37.78
268,14-02-2025,Friday,15:54,16:24,studying,3,19,11,9,36.67
269,15-02-2025,Saturday,20:57,22:32,studying,0,6,77,2,92.77
270,15-02-2025,Saturday,16:55,17:45,studying,1,8,39,5,82.98
271,15-02-2025,Saturday,20:47,22:02,studying,2,52,11,10,17.46
272,16-02-2025,Sunday,06:47,07:23,coding,1,0,23,9,100
273,16-02-2025,Sunday,19:01,20:08,writing,3,18,41,10,69.49
274,16-02-2025,Sunday,06:20,06:51,writing,2,1,29,3,96.67
275,17-02-2025,Monday,13:31,15:09,studying,2,9,60,4,86.96
276,17-02-2025,Monday,20:20,21:25,writing,3,4,40,5,90.91
277,17-02-2025,Monday,06:56,08:23,reading,1,19,64,7,77.11
278,18-02-2025,Tuesday,14:43,16:24,reading,3,65,34,5,34.34
279,18-02-2025,Tuesday,12:59,14:23,writing,1,13,64,9,83.12
280,18-02-2025,Tuesday,11:30,12:49,reading,2,17,39,3,69.64
281,19-02-2025,Wednesday,07:28,08:46,studying,1,9,67,6,88.16
282,19-02-2025,Wednesday,16:57,17:44,coding,1,10,36,1,78.26
283,20-02-2025,Thursday,16:34,17:44,studying,1,9,37,2,80.43
284,20-02-2025,Thursday,19:40,21:21,others,3,3,86,9,96.63
285,21-02-2025,Friday,16:49,17:26,others,3,6,16,9,72.73
286,22-02-2025,Saturday,11:56,13:56,reading,1,5,87,7,94.57
287,22-02-2025,Saturday,11:04,12:54,writing,0,3,20,1,86.96
288,22-02-2025,Saturday,07:32,08:47,others,2,58,10,8,14.71
289,23-02-2025,Sunday,07:40,09:28,coding,3,11,96,7,89.72
290,23-02-2025,Sunday,18:59,20:50,coding,0,5,42,7,89.36
291,24-02-2025,Monday,09:38,11:38,coding,1,78,32,1,29.09
292,24-02-2025,Monday,16:18,16:50,coding,0,1,30,8,96.77
293,25-02-2025,Tuesday,18:46,20:06,studying,0,6,73,5,92.41
294,25-02-2025,Tuesday,18:08,19:27,coding,1,3,30,8,90.91
295,26-02-2025,Wednesday,18:38,19:20,studying,3,9,31,3,77.5
296,26-02-2025,Wednesday,10:01,11:39,writing,2,19,68,4,78.16
297,26-02-2025,Wednesday,20:14,21:38,writing,3,55,24,3,30.38
298,27-02-2025,Thursday,13:38,15:13,studying,2,23,72,9,75.79
299,28-02-2025,Friday,11:11,13:07,coding,3,31,43,2,58.11
300,28-02-2025,Friday,08:06,09:07,coding,2,2,50,1,96.15
301,01-03-2025,Saturday,14:38,15:31,writing,1,1,38,3,97.44
302,01-03-2025,Saturday,11:27,12:53,writing,1,45,32,3,41.56
303,01-03-2025,Saturday,17:43,19:03,writing,0,12,59,6,83.1
304,02-03-2025,Sunday,08:44,09:58,reading,1,26,35,1,57.38
305,02-03-2025,Sunday,09:24,10:10,reading,2,1,41,2,97.62
306,02-03-2025,Sunday,07:21,08:35,writing,3,25,22,2,46.81
307,03-03-2025,Monday,18:59,20:38,reading,0,45,28,7,38.36
308,04-03-2025,Tuesday,17:07,18:33,others,2,50,30,1,37.5
309,05-03-2025,Wednesday,12:13,13:44,writing,1,3,86,10,96.63
310,05-03-2025,Wednesday,21:33,23:16,others,2,12,78,9,86.67
311,05-03-2025,Wednesday,21:46,22:25,reading,0,3,20,2,86.96
312,06-03-2025,Thursday,15:53,16:49,reading,0,7,31,3,81.58
313,07-03-2025,Friday,10:43,12:28,others,1,10,90,3,90
314,08-03-2025,Saturday,12:56,13:36,reading,2,5,35,1,87.5
315,08-03-2025,Saturday,12:37,13:59,writing,0,19,31,8,62
316,08-03-2025,Saturday,13:08,15:08,coding,1,9,106,8,92.17
317,09-03-2025,Sunday,21:12,23:05,studying,2,2,88,9,97.78
318,09-03-2025,Sunday,21:20,23:18,writing,3,56,37,2,39.78
319,10-03-2025,Monday,19:38,20:54,reading,0,2,37,5,94.87
320,10-03-2025,Monday,09:20,10:15,writing,3,30,16,5,34.78
321,10-03-2025,Monday,21:46,23:21,writing,3,13,69,5,84.15
322,11-03-2025,Tuesday,06:42,08:37,reading,3,53,17,8,24.29
323,12-03-2025,Wednesday,10:04,12:01,coding,2,3,90,10,96.77
324,12-03-2025,Wednesday,15:56,17:25,others,1,6,40,2,86.96
325,13-03-2025,Thursday,11:40,12:22,coding,0,5,31,3,86.11
326,14-03-2025,Friday,20:31,21:08,writing,3,4,33,9,89.19
327,14-03-2025,Friday,19:30,21:22,others,1,16,34,6,68
328,15-03-2025,Saturday,10:36,11:18,coding,3,7,10,1,58.82
329,15-03-2025,Saturday,15:27,17:13,writing,2,0,106,3,100
330,15-03-2025,Saturday,15:42,17:01,writing,1,9,55,10,85.94
331,16-03-2025,Sunday,11:24,12:26,coding,2,18,43,1,70.49
